tradition,n,mean_pull,pct_positive,t,p
Anglo-Saxon riddles (Exeter Book),4,0.13636834351964083,100.0,3.7676916599305863,0.01635868335498146
Malay pantun,5,0.051162836512361955,80.0,2.5846788114460657,0.030512685453094948
Nahuatl Difrasismo,8,0.03355280310716088,87.5,1.4216387291916432,0.09905879387532282
Old Norse kenning (skaldic poetry),6,0.13567802987777888,83.33333333333334,1.9622045917272026,0.053492848980577185
Qene (Sem-ena-Werq),3,0.06942043821625966,100.0,7.714529471436376,0.00819540018531867
Russian bylina constant epithet (постоянный эпитет),4,0.04074009886834698,75.0,1.0066595470642172,0.19412883869104414
Russian zagadka (загадка),5,0.08657543250148779,100.0,2.312401158548061,0.04090811412752125
adianoeta,10,0.16700896763497472,100.0,5.410371596166804,0.0002135877696011499
food_euphemism_ja,4,0.03030540466444028,75.0,1.3720882776205592,0.13181639745091567
iham,10,0.06947984057309546,90.0,3.7515281538493315,0.002271979235305132
kakekotoba,10,0.0015154268746962797,60.0,0.0761399198682375,0.4704867350155089
kinaya,6,0.030822870899025943,66.66666666666666,0.8870274345996018,0.20784317035555117
metonymic_drink_en,6,0.0554674362227277,50.0,0.9422442340296315,0.19466506932307093
metonymic_drink_ja,6,-0.11834737609942536,0.0,-2.496540536904234,0.9726393931159313
metonymic_ritual,8,0.02369580204900064,62.5,0.6964330454658078,0.2543078158058847
metonymic_sex_en,8,0.01037145297917977,75.0,0.7397628071169933,0.2417547841722949
metonymic_sex_ja,8,-0.08714616277843334,12.5,-3.486926374813516,0.9949146303427848
osechi,13,0.011635891494598009,61.53846153846154,1.7568846639252291,0.05219904571977269
slesa,10,0.11718384518379628,100.0,3.8349874475906867,0.00199853938190182
tawriya,5,0.1647160502242308,80.0,2.5147670931870567,0.03286116046222917
tevriye,4,0.1567787450976463,100.0,3.5227147003666817,0.01942076555960911
xieyin,10,0.06315088991148325,90.0,3.978054415091372,0.0016076201991961437
